PassengerId,Survived,Pclass,Sex,Age,SibSp,Parch,Ticket,Fare,Embarked,Title,FamSize,FamType,TicketGroupSize,FareBinned,Deck
1,0,3,male,22.0,1,0,A/5 21171,7.25,S,Mr,2,Small,OTHER,Very Low,Unknown
2,1,1,female,38.0,1,0,PC 17599,71.2833,C,Mrs,2,Small,OTHER,Low,C
3,1,3,female,26.0,0,0,STON/O2. 3101282,7.925,S,Miss,1,Solo,OTHER,Very Low,Unknown
4,1,1,female,35.0,1,0,113803,53.1,S,Mrs,2,Small,OTHER,Low,C
5,0,3,male,35.0,0,0,373450,8.05,S,Mr,1,Solo,OTHER,Very Low,Unknown
6,0,3,male,,0,0,330877,8.4583,Q,Mr,1,Solo,OTHER,Very Low,Unknown
7,0,1,male,54.0,0,0,17463,51.8625,S,Mr,1,Solo,OTHER,Low,E
8,0,3,male,2.0,3,1,349909,21.075,S,Master,5,Large,349909,Very Low,Unknown
9,1,3,female,27.0,0,2,347742,11.1333,S,Mrs,3,Small,OTHER,Very Low,Unknown
10,1,2,female,14.0,1,0,237736,30.0708,C,Mrs,2,Small,OTHER,Very Low,Unknown
11,1,3,female,4.0,1,1,PP 9549,16.7,S,Miss,3,Small,OTHER,Very Low,G
12,1,1,female,58.0,0,0,113783,26.55,S,Miss,1,Solo,OTHER,Very Low,C
13,0,3,male,20.0,0,0,A/5. 2151,8.05,S,Mr,1,Solo,OTHER,Very Low,Unknown
14,0,3,male,39.0,1,5,347082,31.275,S,Mr,7,Large,347082,Very Low,Unknown
15,0,3,female,14.0,0,0,350406,7.8542,S,Miss,1,Solo,OTHER,Very Low,Unknown
16,1,2,female,55.0,0,0,248706,16.0,S,Mrs,1,Solo,OTHER,Very Low,Unknown
17,0,3,male,2.0,4,1,382652,29.125,Q,Master,6,Large,382652,Very Low,Unknown
18,1,2,male,,0,0,244373,13.0,S,Mr,1,Solo,OTHER,Very Low,Unknown
19,0,3,female,31.0,1,0,345763,18.0,S,Mrs,2,Small,OTHER,Very Low,Unknown
20,1,3,female,,0,0,2649,7.225,C,Mrs,1,Solo,OTHER,Very Low,Unknown
21,0,2,male,35.0,0,0,239865,26.0,S,Mr,1,Solo,OTHER,Very Low,Unknown
22,1,2,male,34.0,0,0,248698,13.0,S,Mr,1,Solo,OTHER,Very Low,D
23,1,3,female,15.0,0,0,330923,8.0292,Q,Miss,1,Solo,OTHER,Very Low,Unknown
24,1,1,male,28.0,0,0,113788,35.5,S,Mr,1,Solo,OTHER,Very Low,A
25,0,3,female,8.0,3,1,349909,21.075,S,Miss,5,Large,349909,Very Low,Unknown
26,1,3,female,38.0,1,5,347077,31.3875,S,Mrs,7,Large,347077,Very Low,Unknown
27,0,3,male,,0,0,2631,7.225,C,Mr,1,Solo,OTHER,Very Low,Unknown
28,0,1,male,19.0,3,2,19950,263.0,S,Mr,6,Large,19950,High,C
29,1,3,female,,0,0,330959,7.8792,Q,Miss,1,Solo,OTHER,Very Low,Unknown
30,0,3,male,,0,0,349216,7.8958,S,Mr,1,Solo,OTHER,Very Low,Unknown
31,0,1,male,40.0,0,0,PC 17601,27.7208,C,Royalty,1,Solo,OTHER,Very Low,Unknown
32,1,1,female,,1,0,PC 17569,146.5208,C,Mrs,2,Small,OTHER,Medium,B
33,1,3,female,,0,0,335677,7.75,Q,Miss,1,Solo,OTHER,Very Low,Unknown
34,0,2,male,66.0,0,0,C.A. 24579,10.5,S,Mr,1,Solo,OTHER,Very Low,Unknown
35,0,1,male,28.0,1,0,PC 17604,82.1708,C,Mr,2,Small,OTHER,Low,Unknown
36,0,1,male,42.0,1,0,113789,52.0,S,Mr,2,Small,OTHER,Low,Unknown
37,1,3,male,,0,0,2677,7.2292,C,Mr,1,Solo,OTHER,Very Low,Unknown
38,0,3,male,21.0,0,0,A./5. 2152,8.05,S,Mr,1,Solo,OTHER,Very Low,Unknown
39,0,3,female,18.0,2,0,345764,18.0,S,Miss,3,Small,OTHER,Very Low,Unknown
40,1,3,female,14.0,1,0,2651,11.2417,C,Miss,2,Small,OTHER,Very Low,Unknown
41,0,3,female,40.0,1,0,7546,9.475,S,Mrs,2,Small,OTHER,Very Low,Unknown
42,0,2,female,27.0,1,0,11668,21.0,S,Mrs,2,Small,OTHER,Very Low,Unknown
43,0,3,male,,0,0,349253,7.8958,C,Mr,1,Solo,OTHER,Very Low,Unknown
44,1,2,female,3.0,1,2,SC/Paris 2123,41.5792,C,Miss,4,Small,OTHER,Very Low,Unknown
45,1,3,female,19.0,0,0,330958,7.8792,Q,Miss,1,Solo,OTHER,Very Low,Unknown
46,0,3,male,,0,0,S.C./A.4. 23567,8.05,S,Mr,1,Solo,OTHER,Very Low,Unknown
47,0,3,male,,1,0,370371,15.5,Q,Mr,2,Small,OTHER,Very Low,Unknown
48,1,3,female,,0,0,14311,7.75,Q,Miss,1,Solo,OTHER,Very Low,Unknown
49,0,3,male,,2,0,2662,21.6792,C,Mr,3,Small,OTHER,Very Low,Unknown
50,0,3,female,18.0,1,0,349237,17.8,S,Mrs,2,Small,OTHER,Very Low,Unknown
51,0,3,male,7.0,4,1,3101295,39.6875,S,Master,6,Large,3101295,Very Low,Unknown
52,0,3,male,21.0,0,0,A/4. 39886,7.8,S,Mr,1,Solo,OTHER,Very Low,Unknown
53,1,1,female,49.0,1,0,PC 17572,76.7292,C,Mrs,2,Small,OTHER,Low,D
54,1,2,female,29.0,1,0,2926,26.0,S,Mrs,2,Small,OTHER,Very Low,Unknown
55,0,1,male,65.0,0,1,113509,61.9792,C,Mr,2,Small,OTHER,Low,B
56,1,1,male,,0,0,19947,35.5,S,Mr,1,Solo,OTHER,Very Low,C
57,1,2,female,21.0,0,0,C.A. 31026,10.5,S,Miss,1,Solo,OTHER,Very Low,Unknown
58,0,3,male,28.5,0,0,2697,7.2292,C,Mr,1,Solo,OTHER,Very Low,Unknown
59,1,2,female,5.0,1,2,C.A. 34651,27.75,S,Miss,4,Small,OTHER,Very Low,Unknown
60,0,3,male,11.0,5,2,CA 2144,46.9,S,Master,8,Large,CA 2144,Very Low,Unknown
61,0,3,male,22.0,0,0,2669,7.2292,C,Mr,1,Solo,OTHER,Very Low,Unknown
62,1,1,female,38.0,0,0,113572,80.0,,Miss,1,Solo,OTHER,Low,B
63,0,1,male,45.0,1,0,36973,83.475,S,Mr,2,Small,OTHER,Low,C
64,0,3,male,4.0,3,2,347088,27.9,S,Master,6,Large,347088,Very Low,Unknown
65,0,1,male,,0,0,PC 17605,27.7208,C,Mr,1,Solo,OTHER,Very Low,Unknown
66,1,3,male,,1,1,2661,15.2458,C,Master,3,Small,OTHER,Very Low,Unknown
67,1,2,female,29.0,0,0,C.A. 29395,10.5,S,Mrs,1,Solo,OTHER,Very Low,F
68,0,3,male,19.0,0,0,S.P. 3464,8.1583,S,Mr,1,Solo,OTHER,Very Low,Unknown
69,1,3,female,17.0,4,2,3101281,7.925,S,Miss,7,Large,OTHER,Very Low,Unknown
70,0,3,male,26.0,2,0,315151,8.6625,S,Mr,3,Small,OTHER,Very Low,Unknown
71,0,2,male,32.0,0,0,C.A. 33111,10.5,S,Mr,1,Solo,OTHER,Very Low,Unknown
72,0,3,female,16.0,5,2,CA 2144,46.9,S,Miss,8,Large,CA 2144,Very Low,Unknown
73,0,2,male,21.0,0,0,S.O.C. 14879,73.5,S,Mr,1,Solo,S.O.C. 14879,Low,Unknown
74,0,3,male,26.0,1,0,2680,14.4542,C,Mr,2,Small,OTHER,Very Low,Unknown
75,1,3,male,32.0,0,0,1601,56.4958,S,Mr,1,Solo,1601,Low,Unknown
76,0,3,male,25.0,0,0,348123,7.65,S,Mr,1,Solo,OTHER,Very Low,F
77,0,3,male,,0,0,349208,7.8958,S,Mr,1,Solo,OTHER,Very Low,Unknown
78,0,3,male,,0,0,374746,8.05,S,Mr,1,Solo,OTHER,Very Low,Unknown
79,1,2,male,0.83,0,2,248738,29.0,S,Master,3,Small,OTHER,Very Low,Unknown
80,1,3,female,30.0,0,0,364516,12.475,S,Miss,1,Solo,OTHER,Very Low,Unknown
81,0,3,male,22.0,0,0,345767,9.0,S,Mr,1,Solo,OTHER,Very Low,Unknown
82,1,3,male,29.0,0,0,345779,9.5,S,Mr,1,Solo,OTHER,Very Low,Unknown
83,1,3,female,,0,0,330932,7.7875,Q,Miss,1,Solo,OTHER,Very Low,Unknown
84,0,1,male,28.0,0,0,113059,47.1,S,Mr,1,Solo,OTHER,Very Low,Unknown
85,1,2,female,17.0,0,0,SO/C 14885,10.5,S,Miss,1,Solo,OTHER,Very Low,Unknown
86,1,3,female,33.0,3,0,3101278,15.85,S,Mrs,4,Small,OTHER,Very Low,Unknown
87,0,3,male,16.0,1,3,W./C. 6608,34.375,S,Mr,5,Large,W./C. 6608,Very Low,Unknown
88,0,3,male,,0,0,SOTON/OQ 392086,8.05,S,Mr,1,Solo,OTHER,Very Low,Unknown
89,1,1,female,23.0,3,2,19950,263.0,S,Miss,6,Large,19950,High,C
90,0,3,male,24.0,0,0,343275,8.05,S,Mr,1,Solo,OTHER,Very Low,Unknown
91,0,3,male,29.0,0,0,343276,8.05,S,Mr,1,Solo,OTHER,Very Low,Unknown
92,0,3,male,20.0,0,0,347466,7.8542,S,Mr,1,Solo,OTHER,Very Low,Unknown
93,0,1,male,46.0,1,0,W.E.P. 5734,61.175,S,Mr,2,Small,OTHER,Low,E
94,0,3,male,26.0,1,2,C.A. 2315,20.575,S,Mr,4,Small,OTHER,Very Low,Unknown
95,0,3,male,59.0,0,0,364500,7.25,S,Mr,1,Solo,OTHER,Very Low,Unknown
96,0,3,male,,0,0,374910,8.05,S,Mr,1,Solo,OTHER,Very Low,Unknown
